Id,Category
1,1,3
18,1,2
22,2,1
25,1,3
32,1,2
39,1,3
41,1,2
42,1,3
43,1,2
64,0,1
71,1,2
75,1,2
111,1,2
112,3,2
113,1,2
124,1,2
138,1,2
147,1,2
155,1,3
156,1,3
166,1,2
193,1,3
194,3,1
195,1,2
203,0,2
207,1,3
210,0,1
233,1,2
234,0,2
244,1,2
257,2,1
261,4,3
264,1,3
272,1,2
274,1,3
281,1,2
286,1,2
290,1,3
303,0,1
314,1,2
326,1,2
334,1,3
341,1,2
356,1,2
367,3,2
370,2,1
376,1,2
381,1,3
385,1,2
422,1,2
423,1,0
427,1,2
429,1,2
432,1,3
436,2,1
442,3,2
458,1,2
469,1,2
476,3,2
485,0,4
492,0,2
494,1,2
515,1,3
523,2,3
524,1,2
532,1,2
533,1,2
539,1,2
541,1,3
542,1,2
557,1,2
559,3,2
560,1,3
576,1,2
581,3,2
584,1,2
591,1,2
598,0,1
607,1,3
609,0,2
653,0,1
654,1,2
657,1,2
664,1,3
665,2,1
671,1,0
674,2,3
677,1,2
695,1,3
700,0,2
706,1,2
709,1,2
716,2,3
720,1,2
743,1,2
744,0,4
746,1,3
755,0,2
773,2,3
777,1,3
781,1,3
789,1,0
805,1,2
807,3,2
819,1,3
820,2,3
823,1,2
824,1,3
838,1,3
850,2,1
854,3,2
855,0,2
856,2,3
862,2,1
897,1,2
903,1,3
904,2,1
930,1,2
932,1,2
933,2,1
938,1,2
964,0,1
967,1,3
968,2,3
994,2,1
997,3,2
1011,1,3
1020,1,4
1046,0,3
1047,1,2
1057,1,2
1060,1,4
1062,1,2
1066,0,2
1091,1,3
1099,0,1
1102,2,1
1106,1,2
1119,2,1
1123,2,3
1127,2,1
1140,1,3
1146,1,2
1151,1,2
1160,4,1
1163,1,3
1167,1,2
1185,3,1
1189,1,3
1192,1,2
1198,2,1
1202,1,2
1206,1,2
1210,2,1
1222,3,2
1226,1,2
1227,1,3
1228,1,2
1232,1,2
1256,0,4
1257,1,2
1265,1,2
1273,3,2
1277,2,1
1284,2,3
1299,1,2
1310,1,2
1312,1,2
1317,1,3
1330,2,1
1336,1,2
1340,1,3
1363,1,2
1382,1,2
1387,1,2
1389,1,3
1415,1,2
1425,1,3
1446,1,2
1454,2,1
1459,1,2
1460,1,2
1478,1,2
1486,4,2
1489,1,3
1495,2,1
1502,0,4
1506,3,1
1532,1,3
1541,3,2
1544,1,2
1552,4,2
1570,1,3
1571,2,1
1575,1,3
1603,1,3
1607,1,3
1622,1,2
1640,1,2
1656,1,2
1658,1,2
1659,1,3
1665,1,2
1681,1,2
1692,1,2
1702,1,2
1708,3,2
1724,1,2
1730,1,2
1736,1,2
1746,2,1
1762,1,2
1770,1,3
1771,0,2
1773,1,3
1774,1,4
1780,1,3
1789,2,3
1791,1,3
1803,1,2
1807,0,2
1815,0,2
1816,4,2
1858,3,2
1873,0,4
1878,1,3
1879,1,3
1884,1,2
1891,1,2
1892,1,3
1894,1,3
1897,1,3
1908,1,2
1922,2,3
1955,1,2
1960,1,2
1973,0,2
1975,1,3
1997,1,2
2014,1,2
2046,1,2
2055,3,2
2073,1,3
2080,2,1
2087,1,2
2088,1,2
2104,1,3
2105,1,2
2116,1,2
2120,2,1
2129,1,2
2138,1,3
2140,1,2
2143,1,3
2164,1,2
2183,1,2
2184,1,3
2185,1,2
2193,1,2
2199,2,1
2202,3,2
2210,2,4
2213,1,2
2214,3,2
2240,1,2
2247,1,2
2266,2,1
2269,1,3
2278,2,3
2286,0,3
2296,1,2
2302,1,2
2306,0,2
2314,0,2
2323,1,2
2334,1,3
2343,2,1
2347,2,1
2365,1,3
2374,0,3
2375,0,2
2382,1,3
2392,1,3
2401,3,2
2408,1,3
2432,1,2
2443,2,4
2450,1,2
2454,1,2
2461,1,2
2465,0,3
2473,1,2
2505,1,3
2511,1,2
2520,0,4
2524,1,2
2531,2,3
2536,1,3
2539,0,2
2543,1,3
2558,1,3
2560,3,1
2573,1,2
2580,1,2
2588,1,2
2591,2,1
2597,1,3
2598,3,2
2599,3,1
2607,0,3
2629,1,2
2634,0,3
2646,1,2
2663,1,3
2668,1,2
2672,1,2
2688,2,3
2692,1,3
2697,1,2
2723,1,2
2733,1,2
2735,1,3
2739,3,2
2746,1,3
2752,1,2
2757,1,2
2762,2,1
2765,1,2
2778,0,2
2791,1,2
2804,0,2
2807,1,3
2821,0,3
2822,0,2
2823,1,2
2829,1,2
2836,1,3
2842,1,2
2867,1,2
2873,3,2
2884,1,2
2888,1,3
2891,0,2
2905,1,2
2916,1,2
2923,1,2
2925,0,2
2926,1,2
2930,1,3
2943,1,2
2947,1,2
2958,1,3
2959,3,1
2966,1,2
2989,1,0
2990,1,2
2996,4,2
3007,1,3
3009,1,2
3010,1,2
3019,0,3
3023,3,2
3028,1,3
3031,1,2
3055,1,2
3062,2,3
3079,0,1
3083,1,2
3084,1,2
3085,1,2
3089,0,2
3090,1,2
3105,3,2
3108,2,1
3116,1,2
3118,1,2
3151,4,2
3152,1,2
3157,1,2
3158,1,2
3161,0,4
3168,1,2
3174,1,2
3176,1,2
3186,2,3
3205,2,3
3212,0,2
3214,1,2
3221,2,3
3226,0,2
3229,1,2
3232,1,2
3234,0,2
3235,1,3
3261,1,2
3265,0,4
3277,2,1
3278,1,2
3280,1,2
3284,1,3
3291,1,2
3294,1,2
3299,4,2
3315,1,3
3316,2,3
3343,3,1
3344,2,3
3368,1,2
3375,2,3
3379,1,3
3408,1,2
3409,0,3
3428,2,1
3435,1,3
3440,1,3
3441,0,2
3452,2,3
3488,1,3
3507,0,2
3516,1,2
3523,3,2
3527,1,2
3530,0,1
3532,1,2
3537,1,3
3543,2,3
3548,1,3
3559,1,2
3583,1,2
3600,1,2
3604,1,2
3606,1,2
3610,1,3
3620,1,2
3629,1,2
3633,1,2
3635,1,2
3636,3,2
3637,1,2
3641,2,3
3649,1,2
3656,1,2
3665,2,3
3675,1,3
3678,1,2
3692,2,1
3697,1,3
3700,0,3
3701,0,2
3703,2,1
3709,1,2
3710,0,2
3724,1,2
3725,1,2
3782,0,3
3784,1,2
3803,1,3
3805,2,3
3811,1,2
3812,1,2
3830,1,2
3832,1,2
3836,1,2
3842,1,2
3863,2,3
3864,1,3
3866,1,3
3868,1,2
3870,1,2
3871,4,2
3872,1,2
3879,1,2
3882,1,3
3896,2,3
3898,4,2
3904,1,2
3914,1,2
3924,3,2
3927,2,3
3933,1,2
3935,1,2
3944,2,1
3948,1,2
3952,1,2
3955,1,2
3966,1,3
3971,1,3
3978,1,2
3991,3,2
3997,1,2
4008,1,2
4033,1,2
4049,1,2
4060,0,2
4064,1,2
4066,2,3
4067,1,2
4068,1,3
4075,1,2
4080,1,2
4089,0,1
4109,1,2
4114,1,2
4121,0,1
4141,1,2
4144,1,3
4146,0,3
4151,1,2
4185,1,2
4197,1,3
4208,2,1
4218,1,2
4231,3,2
4239,2,3
4244,2,3
4258,1,2
4264,1,2
4266,1,3
4270,1,2
4275,0,1
4279,1,3
4281,2,1
4288,1,3
4301,1,2
4311,1,2
4313,1,2
4317,1,2
4319,1,2
4320,1,2
4325,1,2
4330,3,2
4331,1,3
4336,1,3
4345,1,3
4355,0,1
4380,2,3
4390,1,2
4405,0,3
4409,1,2
4422,2,3
