Id,Category
7,1,3
26,1,2
39,3,2
61,1,2
69,2,1
70,1,2
74,1,2
80,0,2
83,0,2
86,2,1
114,1,2
118,1,2
146,1,3
151,1,2
154,2,3
176,1,2
186,4,2
187,1,2
193,2,1
205,3,1
215,2,1
221,1,2
227,1,2
233,1,2
252,2,1
258,1,2
259,3,1
260,2,1
277,3,2
295,1,3
298,1,2
302,1,2
307,1,2
312,1,2
321,2,3
322,0,2
324,1,2
326,3,2
327,1,2
330,1,0
333,3,1
336,2,1
342,1,2
349,1,2
357,3,1
362,1,2
382,1,4
386,1,2
391,1,2
395,2,1
400,2,1
403,1,2
438,1,2
464,1,2
469,1,2
470,1,2
471,3,2
481,1,2
483,2,1
485,1,2
499,3,1
502,1,3
513,1,2
522,1,0
524,2,1
528,1,0
529,3,1
533,1,3
552,1,2
556,1,2
557,1,3
568,1,3
574,3,1
580,2,1
585,1,3
587,1,2
597,1,2
599,2,1
609,3,2
611,1,2
618,1,2
622,2,1
632,2,1
644,2,3
666,1,2
676,2,1
688,1,3
689,1,0
694,1,2
696,1,2
697,1,2
703,1,2
717,3,2
728,3,1
739,3,1
746,1,3
747,2,1
758,1,2
785,2,1
786,1,2
795,1,2
817,2,1
823,1,2
836,3,1
843,1,2
854,1,2
855,1,2
858,1,4
866,3,1
877,3,2
878,1,2
884,1,3
897,0,2
932,1,2
935,2,1
937,4,3
943,1,2
949,2,1
967,1,2
986,3,2
989,0,2
992,1,2
996,2,1
1001,1,2
1015,2,1
1021,3,2
1023,2,1
1032,1,2
1054,2,3
1068,3,2
1081,0,2
1083,1,2
1092,1,2
1105,1,2
1107,1,3
1108,1,2
1119,1,2
1139,3,1
1147,2,1
1151,1,2
1152,1,2
1153,1,2
1160,3,2
1174,3,2
1193,3,2
1205,2,1
1260,3,2
1261,1,2
1262,3,2
1263,2,1
1265,1,2
1271,1,2
1275,2,1
1279,3,1
1280,1,2
1281,1,3
1284,1,3
1288,1,2
1306,1,2
1326,1,2
1342,1,2
1348,1,2
1351,3,1
1359,2,1
1364,1,3
1367,1,2
1375,2,1
1377,1,2
1381,1,2
1395,3,4
1400,2,1
1407,1,2
1409,3,2
1411,2,1
1412,1,3
1413,2,0
1425,1,3
1427,1,3
1433,1,2
1435,2,1
1437,1,2
1438,1,2
1440,1,2
1451,1,3
1452,0,2
1453,1,2
1456,3,2
1459,3,1
1486,1,2
1512,1,2
1517,1,3
1530,1,2
1531,1,2
1532,2,1
1542,1,2
1546,2,3
1552,0,2
1580,3,1
1585,4,1
1593,3,1
1597,3,2
1605,0,2
1611,1,2
1615,1,2
1623,1,2
1627,1,2
1641,1,2
1650,1,2
1659,1,2
1662,3,2
1679,3,2
1680,1,2
1688,1,2
1690,1,2
1697,1,2
1705,3,1
1719,1,4
1723,2,1
1733,1,2
1758,1,2
1759,3,2
1763,1,2
1786,1,2
1794,0,2
1818,1,2
1826,4,2
1828,1,2
1829,1,2
1840,3,2
1844,1,3
1854,1,2
1855,1,2
1856,1,2
1868,2,3
1882,1,2
1891,3,2
1893,1,2
1898,2,0
1912,3,1
1916,1,2
1921,0,1
1922,1,3
1926,2,3
1928,1,2
1929,1,2
1937,1,3
1938,2,1
