Id,Category
0,1
1,1
2,1
3,1
4,1
5,3
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,4
18,3
19,4
20,1
21,3
22,3
23,3
24,2
25,1
26,1
27,1
28,4
29,0
30,1
31,1
32,1
33,2
34,3
35,0
36,1
37,1
38,1
39,3
40,1
41,2
42,1
43,1
44,1
45,2
46,3
47,3
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,1
56,2
57,0
58,3
59,2
60,0
61,1
62,1
63,3
64,1
65,2
66,1
67,1
68,2
69,2
70,1
71,1
72,3
73,3
74,1
75,2
76,1
77,2
78,1
79,1
80,0
81,1
82,3
83,0
84,4
85,1
86,2
87,1
88,1
89,2
90,1
91,1
92,2
93,4
94,1
95,1
96,1
97,1
98,2
99,1
100,0
101,3
102,1
103,1
104,1
105,1
106,3
107,1
108,2
109,1
110,1
111,1
112,1
113,3
114,1
115,2
116,4
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,1
125,1
126,3
127,1
128,3
129,2
130,4
131,0
132,2
133,1
134,3
135,1
136,1
137,2
138,1
139,0
140,1
141,1
142,2
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,2
155,0
156,1
157,1
158,1
159,1
160,2
161,1
162,1
163,1
164,3
165,0
166,1
167,3
168,0
169,1
170,1
171,2
172,1
173,1
174,1
175,1
176,1
177,3
178,1
179,2
180,1
181,2
182,1
183,1
184,1
185,1
186,4
187,1
188,2
189,1
190,1
191,3
192,2
193,2
194,1
195,3
196,2
197,1
198,2
199,2
200,1
201,1
202,2
203,2
204,2
205,3
206,1
207,3
208,2
209,1
210,1
211,1
212,0
213,0
214,1
215,2
216,4
217,1
218,1
219,1
220,1
221,1
222,2
223,1
224,1
225,1
226,3
227,1
228,1
229,1
230,1
231,1
232,3
233,1
234,1
235,3
236,1
237,1
238,1
239,3
240,1
241,4
242,4
243,1
244,1
245,1
246,3
247,1
248,1
249,1
250,3
251,3
252,2
253,3
254,1
255,4
256,3
257,1
258,1
259,3
260,2
261,0
262,1
263,1
264,3
265,1
266,0
267,1
268,1
269,2
270,1
271,2
272,2
273,1
274,0
275,2
276,1
277,3
278,1
279,2
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,3
288,1
289,1
290,2
291,3
292,3
293,1
294,1
295,1
296,2
297,3
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,2
306,1
307,1
308,2
309,1
310,1
311,2
312,1
313,1
314,1
315,1
316,1
317,4
318,1
319,1
320,1
321,2
322,0
323,1
324,1
325,1
326,3
327,1
328,1
329,1
330,1
331,3
332,1
333,3
334,1
335,0
336,2
337,1
338,1
339,3
340,0
341,1
342,1
343,3
344,1
345,2
346,1
347,1
348,3
349,1
350,1
351,1
352,1
353,1
354,1
355,4
356,4
357,3
358,1
359,1
360,2
361,0
362,1
363,4
364,2
365,1
366,2
367,1
368,1
369,3
370,1
371,1
372,1
373,1
374,3
375,2
376,1
377,2
378,1
379,4
380,1
381,1
382,1
383,1
384,2
385,2
386,1
387,1
388,2
389,1
390,0
391,1
392,1
393,1
394,4
395,2
396,1
397,1
398,2
399,1
400,2
401,2
402,1
403,1
404,4
405,1
406,4
407,1
408,1
409,1
410,1
411,1
412,2
413,1
414,2
415,2
416,1
417,2
418,1
419,1
420,0
421,0
422,0
423,1
424,2
425,2
426,3
427,1
428,1
429,2
430,4
431,1
432,0
433,1
434,1
435,1
436,2
437,2
438,1
439,1
440,3
441,1
442,2
443,3
444,1
445,4
446,2
447,2
448,1
449,2
450,1
451,1
452,2
453,2
454,1
455,3
456,3
457,1
458,1
459,2
460,1
461,2
462,3
463,1
464,1
465,2
466,1
467,4
468,1
469,1
470,1
471,3
472,1
473,1
474,2
475,1
476,2
477,2
478,3
479,2
480,1
481,1
482,1
483,2
484,1
485,1
486,0
487,3
488,1
489,1
490,3
491,1
492,2
493,1
494,1
495,2
496,1
497,2
498,1
499,3
500,2
501,1
502,1
503,1
504,4
505,3
506,4
507,1
508,2
509,1
510,3
511,1
512,3
513,1
514,1
515,0
516,1
517,1
518,1
519,4
520,1
521,2
522,1
523,0
524,2
525,1
526,2
527,1
528,1
529,3
530,1
531,1
532,1
533,1
534,2
535,3
536,1
537,1
538,1
539,0
540,2
541,1
542,1
543,1
544,3
545,2
546,2
547,1
548,2
549,1
550,1
551,1
552,1
553,3
554,2
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,1
563,3
564,1
565,3
566,3
567,1
568,1
569,1
570,2
571,1
572,1
573,3
574,3
575,1
576,1
577,1
578,2
579,2
580,2
581,2
582,0
583,1
584,1
585,1
586,2
587,1
588,4
589,2
590,1
591,3
592,1
593,3
594,0
595,1
596,2
597,1
598,0
599,2
600,4
601,1
602,3
603,1
604,1
605,1
606,1
607,2
608,1
609,3
610,1
611,1
612,1
613,2
614,1
615,1
616,2
617,1
618,1
619,1
620,1
621,3
622,2
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,3
631,1
632,2
633,1
634,3
635,1
636,1
637,1
638,2
639,3
640,1
641,1
642,1
643,1
644,2
645,1
646,1
647,1
648,1
649,4
650,0
651,1
652,2
653,0
654,2
655,2
656,4
657,1
658,1
659,1
660,2
661,2
662,3
663,1
664,4
665,1
666,1
667,1
668,4
669,1
670,1
671,2
672,1
673,1
674,1
675,0
676,2
677,4
678,3
679,1
680,2
681,1
682,2
683,0
684,2
685,2
686,3
687,2
688,1
689,1
690,3
691,1
692,1
693,2
694,1
695,1
696,1
697,1
698,1
699,1
700,4
701,3
702,1
703,1
704,3
705,1
706,0
707,1
708,0
709,0
710,1
711,1
712,1
713,3
714,1
715,1
716,3
717,3
718,2
719,1
720,3
721,1
722,2
723,3
724,2
725,1
726,1
727,1
728,3
729,3
730,4
731,1
732,3
733,2
734,1
735,1
736,1
737,3
738,2
739,3
740,2
741,1
742,1
743,2
744,1
745,1
746,1
747,2
748,2
749,1
750,1
751,1
752,3
753,2
754,2
755,1
756,1
757,1
758,1
759,3
760,4
761,1
762,1
763,1
764,0
765,1
766,2
767,2
768,2
769,1
770,1
771,0
772,0
773,1
774,1
775,1
776,1
777,0
778,3
779,2
780,1
781,0
782,2
783,1
784,1
785,2
786,1
787,1
788,1
789,1
790,1
791,2
792,1
793,4
794,1
795,1
796,1
797,1
798,3
799,2
800,1
801,3
802,0
803,2
804,3
805,1
806,2
807,1
808,3
809,3
810,1
811,2
